Cacalotepec,English Translation,Comment,
kəʔə,35_hand,,
kəʔənah,7_left,,<kəʔə-nah hand-left
kəʔəgaʔaɲ,6_right,,<kəʔə-gaʔaɲ hand-right
puʔuj,39_leg,,
njoʔjəmətʲ,140_walk,,<n-joʔj-əmətʲ  1A-walk-PASTPL 'we walked'
tuʔu,105_roadpath,,
nʔahtəmətʲ,139_come,,<n-ʔah-təmətʲ 1A-come-PASTPL 'we came'
koʔimbihtəmətʲ,146_turn,,<ko-ʔimbih-təmətʲ head-turn-PASTPL 'we turned the head'
nəʔəjuʔuntəmətʲ,148_swim,,<nəʔə-juʔun-təmətʲ water-submerge-PASTPL 'they swam'
ʃəʔək,127_dirty,,
puʔuʃp,82_dust,,
niʔak,42_skin,,<ni-ʔak 1POSS-skin 'my skin'
hʃk,38_back,,
hoʔot,43_belly,,
pahk,41_bone,,
tiʔintʲ,44_intestines,,
toʔotʲk,46_liver,,
tsitsk,45_breast,,
kʲehk,36_shoulder,,<j-kehk 3POSS-shoulder 'his shoulder'
nahawamətʲ,167_know,,<nahawa-mətʲ know-PASTPL '... knew'
məmonməduhkəmətʲ,168_think,,<məmon-məduhk-əmətʲ ?-think-PASTPL '...thought'
dsəʔəkəmətʲ,182_fear,,<n-tsəʔək-əmətʲ 1A-fear-PASTPL 'we feared'
nəʔəpʲ,40_blood,,
kəbahk,27_head,,
joʔkpajk,37_neck,,
waʔaj,28_hair,,
həʔəhp,30_nose,,
d͡ʒaʔahəmətʲ,184_breathe,,<n-ʃaʔah-əmətʲ 1A-breath-PASTPL 'we breathed'
d͡ʒuʔukəmətʲ,166_sniffsmell,,<n-ʃuʔuk-əmətʲ 1A-sniff-PASTPL 'we sniffed'
aʔaw,32_mouth,,
təʔəts,34_tooth,,
toʔots,33_tongue,,
d͡ʒiʔikəmətʲ►,169_laugh,,<n-ʃiʔik-əmətʲ 1A-laugh-PASTPL 'we laughed'
njaʔaʃəmətʲ,170_cry,,<n-jaʔaʃ-əmətʲ 1A-cry-PASTPL 'we cried'
nʔəʔətsəmətʲ,185_vomit,,<n-ʔəʔəts-əmətʲ 1A-vomit-PASTPL 'we vomited'
ʣuʔuhəmətʲ,158_spit,,<n-tsuʔuh-əmətʲ 1A-spit-PASTPL 'we spat'
gaʔajəmətʲ,153_eat,,<n-kaʔaj-əmətʲ 1A-eat-PASTPL 'we ate'
buʔujəmətʲ,152_chew,,<n-puʔuj-əmətʲ 1A-chew-PASTPL 'we chewed'
