Ocotepecspkr1,English Translation,Comment,
►,35_hand,,
►,7_left,,
►,6_right,,
►,39_leg,,
►,140_walk,,
►,105_roadpath,,
►,139_come,,
►,146_turn,,
►,148_swim,,
►,82_dust,,
►,38_back,,
►,43_belly,,
►,41_bone,,
►,46_liver,,
►,167_know,,
►,168_think,,
►,182_fear,,
►,40_blood,,
►,27_head,,
►,37_neck,,
►,28_hair,,
►,30_nose,,
►,32_mouth,,
►,34_tooth,,
►,33_tongue,,
►,169_laugh,,
►,170_cry,,
►,185_vomit,,
►,158_spit,,
►,153_eat,,
►,152_chew,,
►,154_drink,,
►,155_bite,,
►,156_suck,,
►,31_ear,,
►,165_hear,,
►,29_eye,,
►,164_see,,
►,157_yawn,,
►,160_sleep,,
►,145_liedown,,
►,159_dream,,
►,143_sit,,
►,142_stand,,
►,60_person,,
►,61_man,,
►,62_woman,,
►,63_child,,
►,67_husband,,
►,68_wife,,
►,65_mother,,
►,66_father,,
►,102_house,,
►,64_name,,
►,189_say,,
►,103_rope,,
►,186_tieup,,
►,174_sew,,
►,191_stab,,
►,176_hit,,
►,193_steal,,
►,163_kill,,
►,162_die,,
►,161_live,,
►,190_scratch,,
►,98_wood,,
►,198_work,,
►,195_plant,,
►,194_choose,,
►,141_grow,,
►,188_swell,,
►,187_squeeze,,
►,181_hold,,
►,192_buy,,
►,199_open,,
►,175_pound,,
►,150_throw,,
►,144_fall,,
►,47_dog,,
►,48_bird,,
►,56_egg,,
►,149_flyverb,,
►,53_rat,,
►,90_meatflesh,,
►,57_tail,,
►,50_snake,,
►,52_louse,,
►,55_mosquito,,
►,128_rotten,,
►,96_branch,,
►,95_root,,
►,100_flower,,
►,99_grass,,
►,81_earthsoil,,
►,80_stone,,
►,74_water,,
►,173_flow,,
►,76_sea,,
►,91_salt,,
►,94_woodsforest,,
►,73_sky,,
►,85_cloud,,
►,84_rain,,
►,86_wind,,
►,171_blow,,
►,133_warm,,
►,134_cold,,
►,135_dry,,
►,136_wet,,
►,130_heavy,,
►,77_fire,,
►,172_burn,,
►,78_smoke,,
►,106_black,,
►,107_white,,
►,108_red,,
►,110_yellow,,
►,109_green,,
►,112_small,,
►,111_big,,
►,114_short,,
►,113_long,,
►,116_thin,,
►,115_thick,,
►,123_painfulsick,,
►,121_shyashamed,,
►,122_old,,
►,137_new,,
►,124_good,,
►,70_night,,
►,69_day,,
►,18_when,,
►,151_hide,,
►,147_climb,,
►,25_ininside,,
►,23_above,,
►,24_below,,
►,20_this,,
►,21_that,,
►,132_near,,
►,131_far,,
►,17_where,,
►,8_i,,
►,11_yousg,,
►,12_heshe,,
►,10_weallincl,,
►,13_theyall,,
►,15_what,,
►,16_who,,
►,138_other,,
►,129_all,,
►,19_how,,
►,14_nonot,,
►,183_count,,
►,1_one,,
►,2_two,,
►,3_three,,
►,4_four,,
