ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish_Gloss,IndexInSource
1_one,one,1493,ONE,uno,1-0
2_two,two,1498,TWO,dos,2-0
3_three,three,492,THREE,tres,3-0
4_four,four,1500,FOUR,cuatro,4-0
5_year,year,1226,YEAR,año,51-0
6_right,right,1019,RIGHT,(a la) derecha,81-0
7_left,left,244,LEFT,(a la) izquierda   ,82-0
8_i,I,1209,I,yo,101-0
9_weallexcl,"we  (all, EXcl.)",1130,WE (EXCLUSIVE),nosotros (excl.),102-0
10_weallincl,"we  (all, INcl.)",1131,WE (INCLUSIVE),nosotros (incl.),102-3
11_yousg,you  (sg.),1215,THOU,tú,104-0
12_heshe,he/she,2642,HE OR SHE,"él, ella",106-0
13_theyall,they  (all),817,THEY,"ellos, ellas",107-0
14_nonot,"no, not",2279,NO OR NOT,no,112-0
15_what,what,1236,WHAT,qué (pregunta),121-0
16_who,who,1235,WHO,quién (pregunta),122-0
17_where,where,1237,WHERE,dónde (pregunta),123-0
18_when,when,1238,WHEN,cuándo (pregunta),124-0
19_how,how,1239,HOW,cómo (pregunta),125-0
20_this,this,1214,THIS,este,131-0
21_that,that,78,THAT,"ese, aquel",132-0
22_and,and,1577,AND,y,134-0
23_above,above,1741,ABOVE,"encima, arriba, sobre    ",138-0
24_below,below,1485,BELOW OR UNDER,abajo,139-0
25_ininside,"in, inside",1460,IN,dentro ,141-0
26_at,at,1461,AT,en,148-0
27_head,head,1256,HEAD,cabeza,201-0
28_hair,hair,1040,HAIR,pelo (de cabeza),205-0
29_eye,eye,1248,EYE,ojo,211-0
30_nose,nose,1221,NOSE,nariz,212-0
31_ear,ear,1247,EAR,oreja,213-0
32_mouth,mouth,674,MOUTH,boca,221-0
33_tongue,tongue,1205,TONGUE,lengua (órgano),223-0
34_tooth,tooth,1380,TOOTH,diente,224-0
35_hand,hand,1277,HAND,mano           ,231-0
36_shoulder,shoulder,1482,SHOULDER,hombro,233-0
37_neck,neck,1333,NECK,cuello,241-0
38_back,back,1291,BACK,espalda,242-0
39_leg,leg,2098,FOOT OR LEG,pierna/pie,252-0
40_blood,blood,946,BLOOD,sangre,261-0
